	flight_id	airline	origin_airport	destination_airport	flight_number	delay_reason	departure_delay	scheduled_trip_time	scheduled_departure	scheduled_arrival	day_of_week	day_of_month	month
46584	46584	DL	BOS	JFK	750	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
46588	46588	DL	BOS	MSP	809	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46593	46593	DL	BOS	ATL	900	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46641	46641	B6	BOS	PHL	159	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
46646	46646	B6	BOS	DCA	1600	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
46789	46789	US	BOS	CLT	2085	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
46791	46791	US	BOS	PHX	647	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46813	46813	WN	BOS	STL	986	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46897	46897	AA	BOS	MIA	1619	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46901	46901	B6	BOS	IAD	57	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
46931	46931	B6	BOS	FLL	269	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
46966	46966	AA	BOS	JFK	1165	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
47079	47079	B6	BOS	RIC	1481	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47205	47205	B6	BOS	PIT	1285	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47317	47317	UA	BOS	EWR	334	AIRLINE	SMALL_DELAY	SHORT_FLIGHT	MORNING	MORNING	7	4	6
47384	47384	UA	BOS	ORD	202	AIR_SYSTEM	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	7	4	6
47416	47416	B6	BOS	DTW	1137	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47428	47428	DL	BOS	DTW	2079	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47429	47429	DL	BOS	SLC	2083	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47480	47480	AA	BOS	DFW	1318	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47574	47574	UA	BOS	IAH	1016	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47587	47587	US	BOS	PHL	824	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47641	47641	WN	BOS	BWI	1789	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47648	47648	AA	BOS	LAX	201	AIRLINE	SMALL_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
47653	47653	AA	BOS	ORD	1247	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47685	47685	B6	BOS	DCA	289	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47686	47686	B6	BOS	SAN	619	None	SMALL_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
47688	47688	B6	BOS	JAX	1109	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47690	47690	B6	BOS	HOU	1031	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47691	47691	B6	BOS	AUS	1039	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47743	47743	EV	BOS	RIC	4911	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
47865	47865	DL	BOS	PBI	1461	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47907	47907	B6	BOS	TPA	2191	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47953	47953	WN	BOS	MCI	1972	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47967	47967	B6	BOS	ORD	111	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
47969	47969	B6	BOS	STT	907	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
47980	47980	DL	BOS	ATL	1501	None	SMALL_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
48023	48023	VX	BOS	LAX	363	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48223	48223	B6	BOS	FLL	569	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48314	48314	AS	BOS	SEA	25	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48320	48320	B6	BOS	MCO	51	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48335	48335	UA	BOS	DEN	1702	AIRLINE	LARGE_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
48336	48336	B6	BOS	PBI	221	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48499	48499	WN	BOS	MKE	4810	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
48501	48501	AA	BOS	ORD	289	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48505	48505	AA	BOS	MIA	1541	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48598	48598	UA	BOS	SFO	1028	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48599	48599	UA	BOS	ORD	1229	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
48682	48682	B6	BOS	LAX	287	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48684	48684	B6	BOS	JFK	617	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
48692	48692	DL	BOS	MSP	819	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
48853	48853	US	BOS	CLT	1967	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
48873	48873	B6	BOS	BWI	427	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
48978	48978	B6	BOS	DEN	493	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
49054	49054	WN	BOS	HOU	1818	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49142	49142	DL	BOS	ATL	1601	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
49175	49175	US	BOS	PHL	1839	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
49218	49218	B6	BOS	SFO	133	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49221	49221	B6	BOS	RSW	465	None	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49222	49222	B6	BOS	LAS	1077	AIRLINE	SMALL_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
49234	49234	DL	BOS	MCO	1315	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	7	4	6
49326	49326	B6	BOS	RDU	1383	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
49341	49341	DL	BOS	LAX	2531	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49501	49501	B6	BOS	DCA	389	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
49508	49508	DL	BOS	DTW	583	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
49547	49547	UA	BOS	DEN	1690	None	SMALL_DELAY	LONG_FLIGHT	MORNING	MORNING	7	4	6
49709	49709	US	BOS	DCA	2107	AIR_SYSTEM	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	7	4	6
49714	49714	VX	BOS	SFO	351	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49732	49732	AA	BOS	LAX	25	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
49818	49818	UA	BOS	ORD	1135	AIRLINE	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	7	4	6
49894	49894	B6	BOS	MCO	151	LATE_AIRCRAFT	LARGE_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50123	50123	AA	BOS	DFW	1027	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50130	50130	B6	BOS	SAV	49	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
50131	50131	B6	BOS	PBI	921	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50184	50184	WN	BOS	BWI	2766	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
50238	50238	UA	BOS	IAD	791	AIRLINE	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	7	4	6
50240	50240	US	BOS	CLT	1808	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
50275	50275	B6	BOS	RSW	665	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50276	50276	B6	BOS	EWR	2379	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
50307	50307	B6	BOS	SJU	61	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50327	50327	US	BOS	PHX	1856	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50352	50352	AA	BOS	JFK	84	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
50393	50393	B6	BOS	SRQ	741	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50401	50401	B6	BOS	FLL	2169	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50440	50440	DL	BOS	ATL	1701	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50593	50593	WN	BOS	ATL	1824	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50665	50665	US	BOS	DCA	2109	AIR_SYSTEM	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	7	4	6
50804	50804	AA	BOS	ORD	160	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50862	50862	B6	BOS	BUF	815	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	7	4	6
50912	50912	B6	BOS	STT	807	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
50944	50944	B6	BOS	RIC	1081	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
50998	50998	B6	BOS	CHS	1667	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51060	51060	B6	BOS	MCO	251	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51129	51129	B6	BOS	JFK	717	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	7	4	6
51269	51269	EV	BOS	DTW	5203	AIR_SYSTEM	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51321	51321	WN	BOS	BWI	1089	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51361	51361	UA	BOS	SFO	477	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51386	51386	WN	BOS	MDW	1567	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51495	51495	B6	BOS	SEA	597	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51632	51632	B6	BOS	RDU	1083	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51633	51633	B6	BOS	RSW	965	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51635	51635	B6	BOS	FLL	2269	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51657	51657	NK	BOS	RSW	239	None	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51664	51664	OO	BOS	ORD	6229	LATE_AIRCRAFT	MID_DELAY	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51691	51691	US	BOS	LGA	2145	None	ON_TIME	SHORT_FLIGHT	MORNING	AFTERNOON	7	4	6
51733	51733	DL	BOS	ATL	1801	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51785	51785	US	BOS	CLT	1760	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
51809	51809	B6	BOS	MCO	451	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51960	51960	AA	BOS	MIA	1582	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
51964	51964	B6	BOS	DCA	589	AIRLINE	SMALL_DELAY	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
52288	52288	DL	BOS	MSP	829	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
52322	52322	AA	BOS	DFW	1186	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
52331	52331	B6	BOS	TPA	391	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
52336	52336	DL	BOS	FLL	2485	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	7	4	6
52438	52438	B6	BOS	PHL	759	AIR_SYSTEM	MID_DELAY	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
52641	52641	AA	BOS	ORD	187	AIR_SYSTEM	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	7	4	6
52714	52714	US	BOS	DCA	2113	AIR_SYSTEM	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
52715	52715	US	BOS	LGA	2147	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
52777	52777	EV	BOS	RIC	4909	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
52886	52886	B6	BOS	JFK	117	AIR_SYSTEM	SMALL_DELAY	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
52933	52933	DL	BOS	ATL	1901	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53039	53039	B6	BOS	DCA	689	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53146	53146	WN	BOS	DEN	362	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53238	53238	DL	BOS	DTW	159	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53305	53305	B6	BOS	IAD	457	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53419	53419	UA	BOS	IAH	1426	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53437	53437	WN	BOS	BWI	243	None	SMALL_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53496	53496	US	BOS	CLT	2046	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53666	53666	US	BOS	DCA	2115	LATE_AIRCRAFT	LARGE_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
53952	53952	AA	BOS	DFW	2470	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54049	54049	B6	BOS	MSY	401	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54205	54205	DL	BOS	ATL	981	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54344	54344	AA	BOS	ORD	1551	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54388	54388	B6	BOS	SJU	861	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
54430	54430	WN	BOS	ATL	4788	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54438	54438	B6	BOS	JAX	1209	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54615	54615	AA	BOS	MIA	1185	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54702	54702	US	BOS	DCA	2117	AIRLINE	SMALL_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
54745	54745	B6	BOS	PBI	821	AIRLINE	MID_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55076	55076	B6	BOS	FLL	69	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55117	55117	WN	BOS	BWI	1192	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55156	55156	DL	BOS	MSP	859	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55244	55244	B6	BOS	JFK	417	AIR_SYSTEM	LARGE_DELAY	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55245	55245	DL	BOS	DTW	1723	LATE_AIRCRAFT	SMALL_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55335	55335	US	BOS	CLT	1834	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55351	55351	AA	BOS	JFK	193	AIR_SYSTEM	LARGE_DELAY	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55451	55451	DL	BOS	ATL	105	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55477	55477	B6	BOS	BUF	1615	AIRLINE	SMALL_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
55553	55553	B6	BOS	DFW	1115	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
55921	55921	B6	BOS	EWR	2579	AIR_SYSTEM	LARGE_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56070	56070	UA	BOS	DEN	448	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56133	56133	DL	BOS	MCO	1699	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56207	56207	WN	BOS	BNA	2108	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56247	56247	UA	BOS	SFO	503	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56391	56391	B6	BOS	RSW	1065	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56392	56392	B6	BOS	CLT	1445	LATE_AIRCRAFT	MID_DELAY	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
56554	56554	B6	BOS	MCO	951	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56592	56592	AA	BOS	ORD	1063	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56606	56606	B6	BOS	DTW	1237	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
56615	56615	NK	BOS	PBI	203	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56626	56626	B6	BOS	RDU	2783	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
56629	56629	B6	BOS	ORD	1011	AIR_SYSTEM	LARGE_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56649	56649	US	BOS	DCA	2121	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56650	56650	US	BOS	LGA	2155	AIR_SYSTEM	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56675	56675	WN	BOS	MKE	1027	LATE_AIRCRAFT	SMALL_DELAY	MID_FLIGHT	AFTERNOON	AFTERNOON	7	4	6
56776	56776	AA	BOS	DFW	1448	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56777	56777	DL	BOS	MSP	1691	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56837	56837	AA	BOS	LAX	165	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56846	56846	B6	BOS	LGB	405	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56925	56925	B6	BOS	PIT	1685	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
56929	56929	DL	BOS	ATL	1369	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
56984	56984	US	BOS	PHX	629	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57048	57048	B6	BOS	TPA	691	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57160	57160	WN	BOS	ATL	4010	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57222	57222	UA	BOS	IAH	1644	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57248	57248	WN	BOS	MDW	1501	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57304	57304	DL	BOS	DTW	1523	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57330	57330	WN	BOS	BWI	2156	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57479	57479	B6	BOS	MCO	1351	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57524	57524	B6	BOS	SFO	633	AIRLINE	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57533	57533	EV	BOS	CVG	4873	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57554	57554	WN	BOS	DEN	1776	AIRLINE	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57598	57598	B6	BOS	SAN	19	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57614	57614	US	BOS	DCA	2123	AIR_SYSTEM	SMALL_DELAY	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57617	57617	US	BOS	CLT	2043	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57640	57640	AA	BOS	ORD	1065	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57738	57738	WN	BOS	HOU	3859	LATE_AIRCRAFT	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57742	57742	AA	BOS	MIA	1533	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57750	57750	AS	BOS	PDX	33	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57835	57835	B6	BOS	JFK	1317	AIR_SYSTEM	LARGE_DELAY	SHORT_FLIGHT	AFTERNOON	EVENING	7	4	6
57874	57874	UA	BOS	SFO	1699	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57912	57912	B6	BOS	SJC	471	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57913	57913	B6	BOS	DCA	989	AIR_SYSTEM	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
57919	57919	DL	BOS	ATL	1143	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
57967	57967	UA	BOS	ORD	325	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
58000	58000	B6	BOS	LAX	487	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58033	58033	B6	BOS	PBI	121	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58125	58125	DL	BOS	SLC	993	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58131	58131	NK	BOS	FLL	615	AIR_SYSTEM	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58317	58317	B6	BOS	RSW	1165	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58381	58381	B6	BOS	BWI	827	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
58408	58408	B6	BOS	FLL	1969	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58430	58430	VX	BOS	LAX	367	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58459	58459	AA	BOS	JFK	1096	LATE_AIRCRAFT	LARGE_DELAY	SHORT_FLIGHT	AFTERNOON	EVENING	7	4	6
58461	58461	AA	BOS	DFW	1124	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58473	58473	DL	BOS	JFK	793	LATE_AIRCRAFT	MID_DELAY	SHORT_FLIGHT	AFTERNOON	EVENING	7	4	6
58588	58588	B6	BOS	PHX	603	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58634	58634	WN	BOS	BWI	3564	LATE_AIRCRAFT	LARGE_DELAY	MID_FLIGHT	AFTERNOON	EVENING	7	4	6
58692	58692	UA	BOS	SFO	1523	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58695	58695	DL	BOS	LAX	2532	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	7	4	6
58724	58724	US	BOS	DCA	2125	LATE_AIRCRAFT	MID_DELAY	MID_FLIGHT	EVENING	EVENING	7	4	6
58889	58889	DL	BOS	ATL	2401	AIRLINE	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
58937	58937	AS	BOS	SAN	769	AIRLINE	MID_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59072	59072	B6	BOS	PHL	1159	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	7	4	6
59099	59099	B6	BOS	PBI	1321	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59202	59202	UA	BOS	DEN	1753	AIRLINE	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59228	59228	US	BOS	PHL	722	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	7	4	6
59274	59274	B6	BOS	IAD	1257	LATE_AIRCRAFT	LARGE_DELAY	MID_FLIGHT	EVENING	EVENING	7	4	6
59292	59292	DL	BOS	MSP	2549	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59326	59326	WN	BOS	STL	4019	AIRLINE	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59333	59333	AA	BOS	ORD	1670	LATE_AIRCRAFT	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	7	4	6
59406	59406	AS	BOS	SEA	15	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	EVENING	EVENING	7	4	6
59424	59424	EV	BOS	CLE	4159	AIR_SYSTEM	SMALL_DELAY	MID_FLIGHT	EVENING	EVENING	7	4	6
